Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT459841,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/39_36914/2020, complete genome"
MT459842,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/44_36073/2020, complete genome"
MT459843,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/46_36230/2020, complete genome"
MT459844,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/47_36060/2020, complete genome"
MT459845,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/48_35910/2020, complete genome"
MT459846,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/51_36518/2020, complete genome"
MT459847,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29812,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-04-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/53_38017/2020, complete genome"
MT459848,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-31,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/54_37163/2020, complete genome"
MT459849,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-09,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/133_31929/2020, complete genome"
MT459850,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/134_32124/2020, complete genome"
MT459851,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/135_32174/2020, complete genome"
MT459852,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/136_32338/2020, complete genome"
MT459853,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/137_32340/2020, complete genome"
MT459854,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/138_32343/2020, complete genome"
MT459855,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/139_32716/2020, complete genome"
MT459856,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/140_32855/2020, complete genome"
MT459857,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/141_32983/2020, complete genome"
MT459858,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/142_33859/2020, complete genome"
MT459859,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/143_34652/2020, complete genome"
MT459860,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/144_34723/2020, complete genome"
MT459861,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/145_34726/2020, complete genome"
MT459862,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29812,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/146_35473/2020, complete genome"
MT459863,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-09,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/148_31943/2020, complete genome"
MT459864,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/149_32357/2020, complete genome"
MT459865,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/150_32764/2020, complete genome"
MT459866,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/151_33690/2020, complete genome"
MT459867,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/154_35632/2020, complete genome"
MT459868,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-19,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/155_35480/2020, complete genome"
MT459869,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/156_34721/2020, complete genome"
MT459870,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/202_32984/2020, complete genome"
MT459871,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/203_33026/2020, complete genome"
MT459872,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/204_33112/2020, complete genome"
MT459873,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/205_33490/2020, complete genome"
MT459874,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/206_33492/2020, complete genome"
MT459875,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/207_33548/2020, complete genome"
MT459876,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/208_33922/2020, complete genome"
MT459877,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/209_33926/2020, complete genome"
MT459878,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/210_33942/2020, complete genome"
MT459879,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/211_34005/2020, complete genome"
MT459880,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/212_34023/2020, complete genome"
MT459881,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29815,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/213_34051/2020, complete genome"
MT459882,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29815,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/214_34505/2020, complete genome"
MT459883,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/215_34644/2020, complete genome"
MT459884,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/216_34732/2020, complete genome"
MT459885,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/217_34885/2020, complete genome"
MT459886,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-17,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/218_35009/2020, complete genome"
MT459887,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Kassela,K., Dovrolis,N., Bampali,M., Gatzidou,E., Froukala,E., Stavropoulou,A., Veletza,S., Tsakris,A., Spanakis,N., Karakasiliotis,I.",,Greece: Athens,Homo sapiens,,2020-03-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/219_35198/2020, complete genome"
